2025-12-08 18:58:58 | src.data_processing.table_processor | ERROR    | Error processing table 57 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:58:59 | src.data_processing.table_processor | ERROR    | Error processing table 58 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:49 | src.data_processing.table_processor | ERROR    | Error processing table 59 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:50 | src.data_processing.table_processor | ERROR    | Error processing table 60 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:50 | src.data_processing.table_processor | ERROR    | Error processing table 61 in 1A: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:52 | src.data_processing.table_processor | ERROR    | Error processing table 5 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:52 | src.data_processing.table_processor | ERROR    | Error processing table 7 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:53 | src.data_processing.table_processor | ERROR    | Error processing table 9 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:53 | src.data_processing.table_processor | ERROR    | Error processing table 11 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:54 | src.data_processing.table_processor | ERROR    | Error processing table 12 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:54 | src.data_processing.table_processor | ERROR    | Error processing table 13 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:54 | src.data_processing.table_processor | ERROR    | Error processing table 14 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:54 | src.data_processing.table_processor | ERROR    | Error processing table 15 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:55 | src.data_processing.table_processor | ERROR    | Error processing table 16 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:55 | src.data_processing.table_processor | ERROR    | Error processing table 17 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:55 | src.data_processing.table_processor | ERROR    | Error processing table 18 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:56 | src.data_processing.table_processor | ERROR    | Error processing table 19 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:56 | src.data_processing.table_processor | ERROR    | Error processing table 20 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:56 | src.data_processing.table_processor | ERROR    | Error processing table 21 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:57 | src.data_processing.table_processor | ERROR    | Error processing table 22 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:57 | src.data_processing.table_processor | ERROR    | Error processing table 23 in 1C: DataFrame columns must be unique for orient='records'.
